XYZ (13541 points)
4423.756 5322.230 70.000
4532.333 5380.589 69.883
4972.552 5170.603 69.440
6711.991 4318.624 68.616
6985.369 2531.819 50.000
7517.282 3640.239 40.121
9756.309 1775.695 30.000
8195.109 1698.708 30.000
8670.950 4156.105 40.000
9273.729 4480.922 30.003
2634.913 5837.920 100.000
3682.150 5205.372 100.000
3841.050 5159.874 100.000
2388.000 5278.484 100.000
2811.012 4795.749 100.000
3309.529 4627.527 98.260
3374.451 4465.717 100.000
4072.613 3900.204 100.000
3539.202 4304.246 100.000
4252.150 3618.629 100.000
1436.916 5866.331 100.000
2377.686 5954.995 95.804
2197.938 5882.804 99.784
2001.609 5222.570 100.000
686.659 5883.126 100.000
566.132 5233.913 100.000
715.080 5089.666 100.000
4257.430 3384.948 92.625
4090.061 3045.274 100.000
4110.012 2744.937 90.000
4617.567 3178.624 90.011
4612.854 2851.009 89.999
3774.393 2633.691 100.000
15386.927 5975.406 -20.000
12559.800 6721.824 29.023
1519.295 5781.859 94.181
4758.872 4345.523 90.000
8505.630 2117.398 40.031
1403.990 5845.255 100.000
1277.445 5814.268 98.767
7962.468 2865.093 59.479
1193.814 5807.802 100.000
4527.775 4418.099 99.983
5387.987 3979.553 100.000
8275.750 3050.192 59.966
4548.547 3566.690 90.000
10022.689 2520.650 20.000
4504.000 3702.453 89.305
4405.013 4499.464 99.977
11247.513 2265.603 30.000
4270.557 4641.779 99.997
8202.925 1815.664 38.154
8565.269 3150.852 40.111
4910.729 4557.144 90.000
4976.890 4531.168 90.000
783.474 5423.643 99.847
4018.724 4885.160 99.870
5081.564 4436.138 90.000
663.573 5334.419 100.000
8712.987 1555.294 40.000
2357.918 5896.640 92.183
2313.085 5919.056 96.360
2355.932 5948.813 94.145
583.086 5202.775 100.000
2175.403 5851.229 100.000
4623.952 4096.705 90.151
11440.120 3878.120 29.821
2051.505 5712.595 100.000
4707.711 5209.478 69.908
16116.631 813.778 0.000
7157.743 2831.286 70.000
4962.808 3908.345 93.473
4625.792 5246.152 60.000
9789.641 1882.074 29.995
5243.003 5027.170 60.000
7515.789 2658.552 49.999
4564.827 5282.862 66.483
2012.553 5392.768 100.000
4551.316 5356.066 69.887
17560.986 2668.003 -0.314
9875.905 2385.207 30.000
5571.669 3996.264 99.984
6031.945 4547.145 70.000
8583.377 2842.744 40.447
11557.780 2153.311 0.000
5002.270 5162.150 68.657
8933.042 2389.042 40.000
3807.771 5021.917 99.585
6152.977 4973.674 57.313
3826.912 5126.217 99.741
713.525 5871.245 100.000
684.880 5834.114 100.000
3758.126 4924.124 100.000
15957.420 474.343 0.000
736.026 5759.098 100.000
4925.314 3926.418 95.557
